heure;latitude;longitude;magnitude;ville;type
2018-02-14T03:12:58.783000+00:00;42.413;0.641;1.8;Monzón;earthquake
2018-02-14T02:56:25.403000+00:00;44.033;7.237;1.0;Carros;earthquake
2018-02-14T01:42:02.881000+00:00;45.426;6.329;1.8;Saint-Jean-de-Maurienne;earthquake
2018-02-14T00:05:30.380000+00:00;-5.981;133.757;5.7;Ambon;None
2018-02-13T23:10:29.725000+00:00;44.741;6.607;0.8;Gap;earthquake
2018-02-13T20:14:56.137000+00:00;42.843;-0.173;1.3;Lourdes;earthquake
2018-02-13T16:23:54.470000+00:00;45.436;6.367;1.4;Saint-Jean-de-Maurienne;earthquake
2018-02-13T15:59:38.558000+00:00;46.669;5.596;2.2;Lons-le-Saunier;quarry blast
2018-02-13T15:53:05.169000+00:00;47.523;6.564;1.9;Montbéliard;quarry blast
2018-02-13T15:39:30.270000+00:00;48.466;8.74;2.1;Horb am Neckar;quarry blast
2018-02-13T14:58:03.466000+00:00;46.224;6.975;2.1;Monthey;quarry blast
2018-02-13T14:21:21.035000+00:00;44.772;7.378;1.8;Pinerolo;earthquake
2018-02-13T14:07:14.818000+00:00;20.67;144.659;4.9;Saipan;None
2018-02-13T14:06:10.054000+00:00;41.489;1.764;2.5;Martorell;quarry blast
2018-02-13T12:22:39.096000+00:00;44.513;7.129;1.9;Busca;earthquake
2018-02-13T12:17:58.245000+00:00;48.735;8.873;2.2;Calw;quarry blast
2018-02-13T11:59:00.400000+00:00;44.688;4.659;2.5;Montélimar;quarry blast
2018-02-13T11:52:02.049000+00:00;48.122;7.527;2.0;Colmar;earthquake
2018-02-13T11:31:37.284000+00:00;44.966;3.95;2.3;Le Puy-en-Velay;quarry blast
2018-02-13T11:01:57.659000+00:00;48.452;6.852;2.0;Saint-Dié-des-Vosges;quarry blast
2018-02-13T10:51:10.238000+00:00;44.433;3.185;2.4;Rodez;quarry blast
2018-02-13T10:05:42.426000+00:00;44.394;7.425;1.6;Cuneo;quarry blast
2018-02-13T07:42:04.498000+00:00;48.412;9.185;2.0;Reutlingen;quarry blast
2018-02-13T05:09:37.155000+00:00;48.408;8.689;1.2;Horb am Neckar;quarry blast
2018-02-13T02:39:45.620000+00:00;12.183;93.231;5.6;Rangoon;None
2018-02-13T02:31:09.313000+00:00;13.816;146.338;5.3;Saipan;None
2018-02-13T02:03:05.758000+00:00;13.905;146.291;5.5;Saipan;None
2018-02-13T01:11:44.072000+00:00;14.055;146.258;5.3;Saipan;None
2018-02-12T23:46:40.047000+00:00;45.425;6.308;1.8;Saint-Jean-de-Maurienne;earthquake
2018-02-12T22:31:03.505000+00:00;45.446;6.267;1.7;Saint-Jean-de-Maurienne;earthquake
2018-02-12T21:55:57.971000+00:00;45.434;6.326;1.5;Saint-Jean-de-Maurienne;earthquake
2018-02-12T20:32:26.202000+00:00;47.639;8.244;1.4;Waldshut-Tiengen;earthquake
2018-02-12T19:07:46.386000+00:00;44.434;7.144;1.2;Cuneo;earthquake
2018-02-12T17:59:27.793000+00:00;43.028;-0.191;1.4;Lourdes;earthquake
2018-02-12T13:27:53.587000+00:00;44.876;7.014;1.5;Pinerolo;earthquake
2018-02-12T12:38:39.789000+00:00;48.709;8.879;2.0;Sindelfingen;quarry blast
2018-02-12T10:34:14.254000+00:00;48.394;8.664;2.0;Horb am Neckar;quarry blast
2018-02-12T10:31:03.767000+00:00;46.105;3.52;2.3;Vichy;quarry blast
2018-02-12T10:04:53.246000+00:00;43.803;7.646;1.9;San Remo;quarry blast
2018-02-12T09:55:17.774000+00:00;45.431;6.307;1.9;Saint-Jean-de-Maurienne;earthquake
2018-02-12T09:39:11.014000+00:00;45.423;6.318;1.7;Saint-Jean-de-Maurienne;earthquake
2018-02-12T08:55:56.453000+00:00;48.422;9.274;2.0;Reutlingen;quarry blast
2018-02-12T08:51:07.868000+00:00;42.65;0.577;1.6;Lourdes;earthquake
2018-02-12T08:14:57.244000+00:00;45.442;6.302;1.9;Saint-Jean-de-Maurienne;earthquake
2018-02-12T08:05:12.825000+00:00;48.506;9.486;2.0;Münsingen;quarry blast
2018-02-12T05:45:48.923000+00:00;45.436;6.325;1.9;Saint-Jean-de-Maurienne;earthquake
2018-02-12T05:22:44.868000+00:00;44.446;6.676;0.9;Gap;earthquake
2018-02-12T05:03:31.131000+00:00;45.4;5.985;2.1;Crolles;earthquake
2018-02-12T04:55:13.666000+00:00;44.696;9.304;2.0;Solaro;earthquake
2018-02-12T03:32:03.274000+00:00;45.432;6.331;2.3;Saint-Jean-de-Maurienne;earthquake
2018-02-12T03:08:31.430000+00:00;46.63;-0.632;4.7;Bressuire;earthquake
2018-02-12T03:07:12.604000+00:00;44.74;6.611;1.6;Gap;earthquake
2018-02-12T03:06:40.744000+00:00;44.742;6.63;2.0;Gap;earthquake
2018-02-12T03:06:02.230000+00:00;44.742;6.613;1.2;Gap;earthquake
2018-02-12T02:48:28.326000+00:00;-3.809;143.579;4.9;Jayapura;None
2018-02-12T02:37:19.410000+00:00;45.442;6.299;1.8;Saint-Jean-de-Maurienne;earthquake
2018-02-12T02:19:48.367000+00:00;44.739;6.612;1.3;Gap;earthquake
2018-02-12T02:11:19.071000+00:00;46.145;7.511;1.7;Sion;earthquake
2018-02-12T01:27:43.257000+00:00;45.427;6.319;1.8;Saint-Jean-de-Maurienne;earthquake
2018-02-12T00:52:34.332000+00:00;6.266;133.701;5.0;Manokwari;None
2018-02-11T23:19:03.770000+00:00;44.575;6.767;0.9;Briançon;earthquake
2018-02-11T23:14:14.936000+00:00;13.835;146.371;6.0;Saipan;None
2018-02-11T22:18:14.700000+00:00;44.74;6.614;1.0;Gap;earthquake
2018-02-11T22:13:24.328000+00:00;44.745;6.614;1.2;Gap;earthquake
2018-02-11T20:49:15.396000+00:00;46.149;7.502;2.4;Sion;earthquake
